Parada, LAT, LON
Plaza de cibeles bus stop,,
Alcala bus stop,,
Conde de peñalver bus stop,,
Martinez izquierdo bus stop,,
Azcona bus stop,,
Avenida de bruselas bus stop,,
Avenida de badajoz bus stop,,
Condesa de venadito bus stop,,
Madre antonia paris bus stop,,
Hernandez de tejada bus stop,,
Arturo soria bus stop,,
Hernandez de tejada bus stop,,
Arturo soria bus stop,,
Lopez de hoyos bus stop,,
Ctra de canillas bus stop,,
Mota del cuervo bus stop,,
Avenuda machupichu bus stop,,
Silvano bus stop,,
Pedroneras bus stop,ON
Plaza de cibeles bus stop,,
Alcala bus stop,,
Conde de peñalver bus stop,,
Martinez izquierdo bus stop,,
Azcona bus stop,,
Avenida de bruselas bus stop,,
Avenida de badajoz bus stop,,
Condesa de venadito bus stop,,
Madre antonia paris bus stop,,
Hernandez de tejada bus stop,,
Arturo soria bus stop,,
Hernandez de tejada bus stop,,
Arturo soria bus stop,,
Lopez de hoyos bus stop,,
Ctra de canillas bus stop,,
Mota del cuervo bus stop,,
Avenuda machupichu bus stop,,
Silvano bus stop,,
Pedroneras bus stop,,

