,Parada,LON (x),LAT (y)
0,Plaza de Cibeles bus stop,-3.6930919,40.4193432
1,Maria de Molina bus stop,,
2,Avenida Dr. Arce bus stop,,
3,Glorieta Emilio Castelar bus stop,-3.6885874,40.4352856
4,Serrano bus stop,,
5,Principe de Vergara bus stop,-3.6786038,40.441756
6,Avenida Pio XII bus stop,,
7,Caidos de la Division Azul bus stop,-3.6746534,40.4671372
8,Arturo Soria bus stop,,
9,Avenida de San Luis bus stop,,
10,Cuevas de Almanzora bus stop,-1.876084,37.2922445
11,Avenida Ingeniero Emilio Herrera bus stop,-3.6555941,40.4893478
12,Avenida Manoteras bus stop,-3.66807,40.48808
13,Avenida Fco. Pi y Margal bus stop,12.2518928,41.8034274
14,Ana de Austria bus stop,14.550072,47.516231
15,Principe carlos bus stop,,
16,Avenida Niceto Alcala Zamora bus stop,-3.6504833,40.4950543
