,Parada
0,CIBELES
1,Gran Vía-Pedro Zerolo
2,Gran Vía-Montera
3,Gran Vía-Callao
4,Santo Domingo
5,Gran Vía-Plaza de España
6,Palacio Real
7,San Francisco El Grande
8,Puerta de Toledo
9,Imperial-Pontones
10,Puente San Isidro-Pontones
11,Puente San Isidro-Ermita del Santo
12,Vía Carpetana-Caramuel
13,Polideportivo Gallur
14,Vía Carpetana-Centro de Salud
15,Metro Vía Carpetana
16,Valvanera-Algodre
17,Valvanera-Tórtola
18,Oca-Matilde Hernández
19,Oporto
20,Avenida de Oporto-Camino Viejo Leganés
21,Camino Viejo Leganés-Pelícano
22,Camino Viejo Leganés-Falcinelo
23,Camino Viejo Leganés-Carcastillo
24,Abrantes-Camino Viejo Leganés
25,Besolla
26,Carcastillo
27,Belzuneguí
28,Metro San Francisco
29,Avenida de los Poblados-Secoya
30,Antonia Rodríguez Sacristán
31,Aguacate-Centro de Salud
32,Aguacate-Secoya
33,Cementerio Carabanchel
34,Thaler-Centro Comercial
35,Calderilla-Centro Comercial
36,La Peseta-Vía Lusitana
37,La Peseta-Maravedí
38,La Peseta-Corona
39,LA PESETA (Av. La Peseta)
